"n_neighbors, weights, algorithm, leaf_size, p",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'n_neighbors':30, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':distance, 'algorithm':auto, 'leaf_size': 20, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':auto, 'leaf_size': 20, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':auto, 'leaf_size': 30, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':auto, 'leaf_size': 30, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':auto, 'leaf_size': 50, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':auto, 'leaf_size': 50, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
"'n_neighbors':30, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 1",0.780,0.708,0.744,0.744,0.728,0.753,0.489,0.823,0.805
"'n_neighbors':30, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 2",0.773,0.705,0.739,0.739,0.724,0.748,0.480,0.816,0.797
