"eta, max_depth, subsample, colsample_bytree, gamma, alpha, lambda",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.783,0.728,0.756,0.756,0.742,0.762,0.512,0.838,0.817
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.780,0.721,0.750,0.750,0.736,0.758,0.502,0.835,0.817
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.786,0.726,0.756,0.756,0.742,0.763,0.513,0.836,0.818
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.807,0.744,0.776,0.776,0.759,0.782,0.552,0.857,0.840
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.804,0.744,0.774,0.774,0.758,0.780,0.548,0.857,0.839
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.802,0.754,0.778,0.778,0.765,0.783,0.556,0.858,0.842
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.805,0.743,0.774,0.774,0.758,0.781,0.549,0.861,0.848
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.785,0.727,0.756,0.756,0.742,0.763,0.513,0.834,0.809
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.785,0.723,0.754,0.754,0.739,0.761,0.508,0.837,0.817
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.785,0.724,0.755,0.755,0.740,0.762,0.511,0.835,0.817
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.781,0.721,0.751,0.751,0.737,0.758,0.502,0.836,0.820
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.790,0.736,0.763,0.763,0.749,0.769,0.526,0.840,0.814
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.793,0.736,0.764,0.764,0.750,0.771,0.529,0.844,0.820
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.788,0.739,0.763,0.763,0.751,0.769,0.528,0.840,0.815
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.785,0.726,0.756,0.756,0.742,0.763,0.512,0.839,0.815
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.759,0.726,0.742,0.742,0.735,0.746,0.485,0.819,0.795
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.762,0.721,0.742,0.742,0.732,0.747,0.484,0.819,0.791
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.757,0.720,0.739,0.739,0.730,0.743,0.478,0.815,0.787
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.759,0.725,0.742,0.742,0.734,0.746,0.484,0.821,0.798
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.789,0.735,0.762,0.762,0.749,0.768,0.525,0.842,0.819
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.787,0.739,0.763,0.763,0.751,0.769,0.527,0.840,0.813
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.788,0.732,0.760,0.760,0.746,0.767,0.521,0.839,0.813
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.787,0.729,0.758,0.758,0.744,0.765,0.517,0.840,0.817
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.763,0.717,0.740,0.740,0.730,0.746,0.480,0.814,0.784
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.753,0.718,0.735,0.735,0.727,0.740,0.471,0.817,0.794
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.757,0.708,0.732,0.732,0.721,0.739,0.465,0.814,0.789
"'eta':0.3, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.760,0.717,0.738,0.738,0.729,0.744,0.477,0.818,0.793
"'eta':0.3, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.807,0.745,0.776,0.776,0.760,0.783,0.553,0.858,0.841
"'eta':0.3, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.808,0.755,0.781,0.781,0.767,0.787,0.563,0.860,0.841
"'eta':0.3, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.801,0.739,0.770,0.770,0.755,0.777,0.542,0.855,0.837
"'eta':0.3, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.812,0.739,0.775,0.775,0.757,0.783,0.552,0.858,0.842
"'eta':0.3, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.768,0.728,0.748,0.748,0.739,0.753,0.497,0.825,0.801
"'eta':0.3, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.767,0.724,0.746,0.746,0.736,0.751,0.492,0.827,0.802
